iter	Passed	Remaining
407	5741	8330
408	5749	8308
409	5758	8286
410	5782	8287
411	5795	8271
412	5804	8250
413	5812	8228
414	5821	8206
415	5831	8186
416	5859	8191
417	5872	8176
418	5886	8162
419	5897	8144
420	5915	8135
421	5951	8151
422	5959	8128
423	6018	8176
424	6031	8159
425	6043	8142
426	6052	8122
427	6061	8101
428	6074	8085
429	6084	8065
430	6094	8045
431	6103	8024
432	6128	8025
433	6138	8006
434	6191	8041
435	6212	8035
436	6224	8018
437	6234	7999
438	6244	7979
439	6254	7960
440	6266	7942
441	6327	7987
442	6354	7989
443	6431	8054
444	6448	8041
445	6463	8028
446	6475	8011
447	6491	7998
448	6552	8040
449	6631	8105
450	6652	8098
451	6672	8089
452	6738	8137
453	6766	8137
454	6780	8121
455	6793	8104
456	6804	8084
457	6814	8064
458	6824	8044
459	6841	8031
460	6856	8016
461	6869	8000
462	6886	7986
463	6919	7993
464	6932	7976
465	6944	7957
466	6962	7946
467	6979	7933
468	7008	7934
469	7019	7916
470	7033	7899
471	7044	7879
472	7073	7880
473	7087	7865
474	7100	7847
475	7122	7840
476	7139	7827
477	7181	7842
478	7202	7833
479	7287	7894
480	7302	7879
481	7313	7859
482	7322	7838
483	7356	7842
484	7368	7824
485	7380	7805
486	7389	7783
487	7398	7762
488	7410	7743
489	7439	7742
490	7447	7720
491	7456	7699
492	7475	7687
493	7486	7668
494	7497	7648
495	7505	7626
496	7514	7605
497	7523	7583
498	7532	7562
499	7541	7541
500	7549	7519
501	7559	7498
502	7567	7477
503	7600	7480
504	7614	7463
505	7624	7443
506	7633	7422
507	7642	7401
508	7650	7379
509	7659	7358
510	7667	7337
511	7709	7348
512	7727	7335
513	7736	7315
514	7747	7295
515	7756	7275
516	7765	7255
517	7777	7236
518	7785	7215
519	7797	7197
520	7810	7181
521	7821	7162
522	7830	7141
523	7894	7171
524	7934	7178
525	7946	7160
526	7957	7141
527	7968	7123
528	7977	7103
529	8008	7101
530	8016	7080
531	8026	7060
532	8034	7039
533	8052	7027
534	8077	7020
535	8091	7004
536	8102	6985
537	8132	6983
538	8147	6968
539	8156	6947
540	8163	6926
541	8172	6905
542	8225	6922
543	8247	6912
544	8258	6894
545	8267	6874
546	8276	6854
547	8310	6854
548	8324	6838
549	8334	6819
550	8344	6799
551	8353	6779
552	8361	6758
553	8370	6738
554	8378	6718
555	8387	6697
556	8396	6677
557	8432	6679
558	8445	6662
559	8458	6645
560	8467	6626
561	8476	6606
562	8502	6599
563	8511	6580
564	8532	6569
565	8543	6551
566	8554	6532
567	8577	6523
568	8587	6505
569	8628	6509
570	8659	6505
571	8673	6489
572	8690	6476
573	8707	6462
574	8747	6465
575	8763	6450
576	8798	6449
577	8812	6434
578	8829	6420
579	8840	6401
580	8892	6412
581	8961	6436
582	8973	6418
583	8986	6401
584	8997	6382
585	9007	6363
586	9021	6347
587	9034	6330
588	9047	6313
589	9061	6297
590	9073	6279
591	9089	6264
592	9107	6250
593	9120	6233
594	9135	6217
595	9187	6227
596	9212	6219
597	9271	6232
598	9287	6217
599	9302	6201
600	9334	6196
601	9351	6182
602	9362	6163
603	9371	6144
604	9380	6124
605	9389	6104
606	9398	6085
607	9408	6066
608	9418	6046
609	9427	6027
610	9438	6008
611	9445	5988
612	9454	5968
613	9470	5953
614	9481	5935
615	9503	5924
616	9516	5907
617	9525	5888
618	9556	5882
619	9569	5865
620	9583	5848
621	9594	5830
622	9617	5819
623	9627	5801
624	9641	5785
625	9652	5766
626	9661	5747
627	9691	5740
628	9703	5723
629	9714	5705
630	9723	5686
631	9733	5667
632	9743	5648
633	9752	5629
634	9761	5610
635	9770	5591
636	9778	5572
637	9788	5553
638	9798	5535
639	9807	5516
640	9815	5497
641	9825	5479
642	9838	5462
643	9861	5451
644	9873	5433
645	9907	5428
646	9919	5412
647	9929	5393
648	9936	5374
649	9945	5355
650	9954	5336
651	9963	5317
652	9972	5299
653	9980	5280
654	9992	5263
655	10000	5244
656	10008	5225
657	10018	5207
658	10025	5187
659	10037	5170
660	10046	5152
661	10054	5133
662	10095	5131
663	10113	5117
664	10124	5100
665	10133	5081
666	10141	5063
667	10151	5045
668	10161	5027
669	10173	5010
670	10181	4992
671	10192	4974
672	10255	4982
673	10273	4968
674	10283	4951
675	10291	4932
676	10300	4914
677	10309	4896
678	10319	4878
679	10327	4859
680	10335	4841
681	10346	4824
682	10369	4812
683	10380	4795
684	10393	4779
685	10401	4760
686	10409	4742
687	10418	4724
688	10427	4706
689	10445	4692
690	10475	4684
691	10503	4675
692	10513	4657
693	10531	4643
694	10539	4625
695	10548	4607
696	10557	4589
