iter	RMSE
0	1.28765167
1	1.251822245
2	1.219747471
3	1.191495778
4	1.16761277
5	1.147142802
6	1.128327485
7	1.112575984
8	1.09890853
9	1.086455135
10	1.075487411
11	1.066179617
12	1.05775244
13	1.050661525
14	1.04426302
15	1.038763189
16	1.03393272
17	1.029584813
18	1.025558224
19	1.022423632
20	1.019366678
21	1.016540595
22	1.014067749
23	1.011782901
24	1.009920863
25	1.008185433
26	1.006508904
27	1.004955839
28	1.003650793
29	1.002346183
30	1.001286084
31	1.000208137
32	0.9992409339
33	0.9982288847
34	0.9973657655
35	0.9967488828
36	0.9960659785
37	0.9953139169
38	0.9946779835
39	0.9940004246
40	0.9934030691
41	0.9928522945
42	0.9923927702
43	0.9918690053
44	0.9914161703
45	0.9909994443
46	0.9905633518
47	0.990189766
48	0.9897405533
49	0.9893546611
50	0.989004012
51	0.988715739
52	0.9883466961
53	0.987907072
54	0.987598652
55	0.9872801849
56	0.9869945914
57	0.9867766014
58	0.9865233639
59	0.9862987246
60	0.9860949905
61	0.9858818759
62	0.9856872116
63	0.9854355243
64	0.9852346391
65	0.9849863234
66	0.9847969354
67	0.9846521954
68	0.9843848152
69	0.9841824949
70	0.9840359005
71	0.983816858
72	0.9836180444
73	0.9834993337
74	0.9833396132
75	0.9832260011
76	0.983115307
77	0.9829541533
78	0.9828263473
79	0.9826361845
80	0.9824862526
81	0.9823858441
82	0.9821622758
83	0.9820748583
84	0.9819694704
85	0.9817995116
86	0.9816187512
87	0.9814959238
88	0.9814016134
89	0.9812890291
90	0.9811780071
91	0.9810789404
92	0.9810060426
93	0.9808913321
94	0.9808004929
95	0.9806317162
96	0.9805221817
97	0.9804045364
98	0.9803572119
99	0.9802797499
100	0.9801651684
101	0.9800860652
102	0.9799897741
103	0.9799217178
104	0.9798261102
105	0.9796841346
106	0.9795682221
107	0.9795070357
108	0.9793953504
109	0.9792823439
110	0.9791947117
111	0.97910158
112	0.9790017363
113	0.9789545331
114	0.978827508
115	0.9787592955
116	0.9787016791
117	0.9786179495
118	0.9785566851
119	0.9784886164
120	0.9783884176
121	0.9783383031
122	0.9782009931
123	0.9780875139
124	0.9779899435
125	0.9779355985
126	0.9778487233
127	0.9777418797
128	0.9776467686
129	0.9775879122
130	0.9775090109
131	0.977410586
